章节,标题,起始行,结束行,行数
811,混沌圣主,138817,138979,163
812,仇人相见,138980,139133,154
813,梦公子?,139134,139311,178
814,无限接近准帝的岳沧澜,139312,139435,124
815,十万年前的李长生,139436,139583,148
816,长生锁,139584,139743,160
817,虚空灵舟,139744,139933,190
818,不要回头,139934,140099,166
819,青岩仙巢,140100,140250,151
820,各显神通,140251,140413,163
821,先酝酿一下,140414,140585,172
822,一剑斩一根,140586,140787,202
823,越砍越厉害,140788,140956,169
824,时间到了,140957,141116,160
825,全场最牛的人,141117,141267,151
826,方尘的担忧,141268,141421,154
827,空间坍塌,141422,141578,157
828,我又要渡劫了,141579,141765,187
829,在混沌虚空渡劫,141766,141937,172
830,尾随,141938,142100,163
831,炼制长生丹,142101,142272,172
832,好事连连,142273,142420,148
833,禁地中的石碑,142421,142571,151
834,再临琉璃剑宗,142572,142719,148
835,九劫圣人陨落,142720,142906,187
836,舰队覆灭,142907,143075,169
837,疑似琉璃圣人?,143076,143217,142
838,悟道茶树的残枝,143218,143362,145
839,九品圣火,143363,143510,148
840,长生丹出炉,143511,143703,193
841,连人也要偷走吗?,143704,143863,160
842,青岩仙丹,143864,144011,148
843,藏经阁被洗劫了,144012,144150,139
844,传承禁地也被偷了,144151,144319,169
845,连地底灵脉都挖走,144320,144485,166
846,先弄进魔窟,144486,144663,178
847,收服白灵圣火,144664,144808,145
848,你们一起上吧,144809,144953,145
849,我们认输了,144954,145089,136
850,让长生谷的人来整理宝贝,145090,145273,184
851,激动的青元圣人,145274,145433,160
852,找天机阁来查,145434,145572,139
853,震惊的李长生,145573,145684,112
854,送丹上门,145685,145814,130
855,既然来了，就别走了,145815,145953,139
856,如果我偏要走呢?,145954,146068,115
857,齐聚一堂,146069,146207,139
858,那火璃圣人太强了,146208,146322,115
859,古虞圣人的大胆决定,146323,146440,118
860,去南海接人,146441,146582,142
861,带着传送阵回去,146583,146772,190
862,驱逐李长生,146773,146929,157
863,投奔琉璃剑宗,146930,147065,136
864,白衣圣人,147066,147216,151
865,投奔叶家,147217,147349,133
866,痛苦的叶辰,147350,147488,139
867,李长生的办法,147489,147642,154
868,转移长生源界,147643,147793,151
869,传送阵布置好了,147794,147944,151
870,发布公告,147945,148164,220
871,报团取暖,148165,148297,133
872,混沌圣主到访,148298,148460,163
873,接见岳沧澜,148461,148611,151
874,从长生谷偷回来的,148612,148756,145
875,方尘vs岳凡,148757,148907,151
876,可惜他命轮有缺,148908,149052,145
877,狗头岭找王大厨,149053,149206,154
878,火璃前辈要招待贵客,149207,149363,157
879,这酒也是偷的?,149364,149538,175
880,修炼长生诀,149539,149701,163
881,长生大帝,149702,149855,154
882,长寿之法,149856,149997,142
883,长生经,149998,150130,133
884,残魂消散,150131,150266,136
885,欲往圣土,150267,150408,142
886,北冥城,150409,150568,160
887,偶遇熟人,150569,150731,163
888,无法出海了,150732,150888,157
889,远水救不了近火,150889,151030,142
890,一上来就挥剑捅人,151031,151190,160
891,震惊北冥宗,151191,151296,106
892,假装昏迷,151297,151432,136
893,排查奸细,151433,151553,121
894,最有嫌疑的人,151554,151689,136
895,你也会布阵?,151690,151801,112
896,略有造诣而已,151802,151910,109
897,幕后黑手,151911,152046,136
898,空冥圣人,152047,152206,160
899,对战空冥圣人,152207,152351,145
900,北冥困仙大阵,152352,152490,139
901,九重浪破阵,152491,152620,130
902,魔种,152621,152747,127
903,解决魔种的办法,152748,152895,148
904,我师兄是琉璃圣人,152896,153061,166
905,分工合作,153062,153197,136
906,谁说我只有一种圣火?,153198,153336,139
907,这就是他的实力?,153337,153505,169
908,匠神,153506,153632,127
909,修复碧海神舟,153633,153756,124
910,吃一顿再走,153757,153913,157
911,你一只鸟喝什么茶?,153914,154055,142
912,你是不是喜欢我?,154056,154206,151
913,寂灭仙经第七层,154207,154345,139
914,愤怒的叶空,154346,154520,175
915,难道你不想嫁给我吗?,154521,154680,160
916,终成眷属,154681,154855,175
917,叶空渡劫,154856,155027,172
918,大家集合,155028,155235,208
919,大家一起蹭本源洗礼,155236,155458,223
920,你哥他谈过恋爱吗?,155459,155666,208
921,传送阵修好了,155667,155808,142
922,开始测试,155809,155971,163
923,传送阵真的是好用,155972,156116,145
924,准备去东海,156117,156273,157
925,浮仙道友来了,156274,156448,175
926,不惜一切代价，杀死那个人族,156449,156620,172
927,独战九劫魔圣,156621,156798,178
928,镇压天宏魔圣,156799,156991,193
929,碧螺岛主,156992,157139,148
930,大功告成,157140,157281,142
931,东海龙王,157282,157417,136
932,天龙珠,157418,157574,157
933,浮仙道友准备出绝招了,157575,157722,148
934,这一切都是幻觉!,157723,157909,187
935,天魔七杀阵,157910,158075,166
936,刺穿结界,158076,158238,163
937,破开天魔七杀阵,158239,158404,166
938,东海龙王陨落,158405,158585,181
939,混沌魔星藤渡劫,158586,158748,163
940,混沌魔星藤渡劫2,158749,158917,169
941,实力暴涨的混沌魔星藤,158918,159068,151
942,前往西海,159069,159219,151
943,邪心魔圣,159220,159424,205
944,北海魔族跑路了,159425,159584,160
945,混沌魔星藤出手,159585,159777,193
946,给我往死里炸,159778,159973,196
947,混沌圣地来消息了,159974,160148,175
948,前往混沌圣地,160149,160335,187
949,混沌圣主的条件,160336,160459,124
950,战斗结果,160460,160646,187
951,天轮秘典,160647,160794,148
952,对手就在眼前,160795,160945,151
953,八哥的实力,160946,161120,175
954,叶青瓷的决定,161121,161310,190
955,邀请帖发光了,161311,161443,133
956,豪气的明月圣人,161444,161621,178
957,吃完饭再走,161622,161790,169
958,来长生谷送贴,161791,161935,145
959,他们的帖子肯定是买的,161936,162080,145
960,这个云花到底是怎么搞的?,162081,162237,157
961,全部都是贵宾贴,162238,162397,160
962,蟠桃园入口的老柳树,162398,162560,163
963,进入蟠桃园,162561,162711,151
964,白霜圣人,162712,162838,127
965,问题来自地下,162839,162980,142
966,青天魔虫,162981,163140,160
967,这虫子还有用,163141,163294,154
968,先吃为敬,163295,163439,145
969,要用圣火烤过才能吃,163440,163569,130
970,采摘蟠桃,163570,163696,127
971,万年蟠桃园,163697,163835,139
972,万年的蟠桃树,163836,163932,97
973,万年蟠桃园的秘密,163933,164065,133
974,老天爷不敢劈我了,164066,164189,124
975,挖不动了,164190,164331,142
976,抓虫子,164332,164455,124
977,焕发生机的老柳树,164456,164603,148
978,瑶池天宫,164604,164778,175
979,七彩虹桥,164779,164947,169
980,叶家的人也来了,164948,165107,160
981,她是方尘的道侣,165108,165264,157
982,大伯叶寻?,165265,165436,172
983,叶青瓷出手,165437,165626,190
984,混元幽冥圣体的实力,165627,165786,160
985,叶家的人瞎了眼,165787,165940,154
986,你自己怕死就直说,165941,166070,130
987,最受欢迎的人,166071,166218,148
988,瑶池圣主,166219,166360,142
989,似曾相识的感觉,166361,166517,157
990,桃花茶,166518,166704,187
991,你有可能失忆了,166705,166855,151
992,她看你的眼神不一样,166856,166988,133
993,瑶池圣主的拥抱,166989,167115,127
994,柳前辈这是怎么了?,167116,167233,118
995,混沌钟,167234,167357,124
996,一片桃叶的威力,167358,167490,133
997,噬神印记与万年桃树,167491,167644,154
998,蟠桃树发芽了,167645,167789,145
999,他不是我想要的梦公子,167790,167925,136
1000,龙族又送宝贝来了,167926,168088,163
1001,要自创功法,168089,168239,151
1002,一万多滴流星泪,168240,168363,124
1003,那是小师叔在练剑,168364,168532,169
1004,神秘的空间漩涡,168533,168695,163
1005,空间漩涡形成的原因,168696,168816,121
1006,创造剑法的方向,168817,168967,151
1007,一剑轮回,168968,169148,181
1008,方尘对战火璃圣人,169149,169314,166
1009,一剑轮回的威力,169315,169468,154
1010,天剑老人,169469,169595,127
1011,分配流星泪,169596,169731,136
1012,两样宝贝,169732,169864,133
1013,你才是最辛苦的人,169865,169991,127
1014,炼制混元无极珠,169992,170145,154
1015,混元无极珠的威力,170146,170323,178
1016,抵挡灵魂攻击,170324,170474,151
1017,缥缈无踪符,170475,170640,166
1018,再次入梦,170641,170809,169
1019,一睡三年,170810,170969,160
1020,修炼成功,170970,171126,157
1021,我请你哥吃饭,171127,171301,175
1022,再临北冥宗,171302,171458,157
1023,准备起航,171459,171615,157
1024,抵达码头,171616,171754,139
1025,登船,171755,171929,175
1026,小黑狗的父亲,171930,172071,142
1027,爹，弄死他,172072,172228,157
1028,儿子，救我,172229,172445,217
1029,更加完整的天轮秘典,172446,172608,163
1030,命轮的变化,172609,172738,130
1031,抵达圣土,172739,172907,169
1032,难道他们不怕被偷家吗?,172908,173046,139
1033,碧水麒麟兽,173047,173203,157
1034,开始挖药,173204,173384,181
1035,寸草不留,173385,173499,115
1036,前方有圣兽群落,173500,173620,121
1037,紫瞳雷炎蛟,173621,173780,160
1038,他只是七劫圣人?,173781,173952,172
1039,一条小蛇，我自己能解决,173953,174118,166
1040,绕字诀,174119,174251,133
1041,探路先锋小纸鹤,174252,174399,148
1042,准帝境界的荒龙,174400,174550,151
1043,一片富饶的山脉,174551,174680,130
1044,先找个地方渡劫吧,174681,174852,172
1045,一千二百根柱子,174853,175021,169
1046,排队渡劫,175022,175166,145
1047,风铃树,175167,175323,157
1048,疯狂的混沌魔星藤,175324,175498,175
1049,树奴,175499,175631,133
1050,发现无敌圣兽,175632,175770,139
1051,火璃圣人vs神翼霸王狮王,175771,175969,199
1052,你们是不是对方尘自信过头了?,175970,176093,124
1053,浮仙长老太疯狂,176094,176247,154
1054,身法再度突破,176248,176353,106
1055,堪比无敌圣人,176354,176468,115
1056,强势碾压,176469,176589,121
1057,对战神翼霸王狮王,176590,176722,133
1058,狮王变身,176723,176828,106
1059,困兽之斗,176829,176955,127
1060,九重浪完接着浪,176956,177064,109
1061,冲破阵法，狮王败退,177065,177191,127
1062,寻找修炼之地,177192,177315,124
1063,红土荒原,177316,177448,133
1064,朝着荒原深处前进,177449,177569,121
1065,红土荒原的中心,177570,177675,106
1066,提炼风铃果,177676,177802,127
1067,浮仙大阵,177803,177923,121
1068,炼天炉传出的风铃声,177924,178086,163
1069,风铃果精油,178087,178225,139
1070,紫薇圣人的请求,178226,178361,136
1071,混沌魔星藤讨厌的东西,178362,178497,136
1072,这玩意不像天圣丹,178498,178639,142
1073,我不是那种小气的人,178640,178787,148
1074,这结界有点特殊,178788,178911,124
1075,突破结界,178912,179062,151
1076,深渊裂缝下的石头怪,179063,179219,157
1077,地底杀进三千里,179220,179364,145
1078,紫眼石怪,179365,179515,151
1079,一块神奇的石碑,179516,179669,154
1080,可以压制圣心丹的药力,179670,179775,106
1081,这石碑忽然发光了,179776,179932,157
1082,火璃前辈石化了,179933,180095,163
1083,悬空的魔石,180096,180252,157
1084,这块盆地有古怪,180253,180397,145
1085,准帝级的石头怪,180398,180551,154
1086,浮仙长老回来了,180552,180681,130
1087,在火璃圣人身边修炼,180682,180805,124
1088,神山脚下的石窟,180806,180935,130
1089,神山之巅,180936,181083,148
1090,神山要下沉了,181084,181279,196
1091,沉入地底,181280,181466,187
1092,偶遇明月圣人,181467,181659,193
1093,魔族强者,181660,181819,160
1094,宝物出世,181820,181976,157
1095,两位无敌魔圣,181977,182121,145
1096,抢夺碎石,182122,182266,145
1097,他是人族的无敌圣人,182267,182438,172
1098,以一敌二?有意思吗?,182439,182580,142
1099,重创红岩魔圣,182581,182767,187
1100,青光魔圣，打入轮回,182768,182942,175
1101,魔星藤又要渡劫,182943,183105,163
1102,两个天劫漩涡,183106,183250,145
1103,魔星藤的本命灵珠,183251,183413,163
1104,护体灵光破碎,183414,183552,139
1105,宝物到手,183553,183712,160
1106,可否以借阵法一用?,183713,183836,124
1107,有钱一切好商量,183837,183975,139
1108,再炼心劫丹,183976,184126,151
1109,这心劫丹太厉害,184127,184238,112
1110,这些魔族好嚣张,184239,184395,157
1111,杀一个无敌圣人给你们看看,184396,184507,112
1112,裂空魔圣,184508,184673,166
1113,他竟然也是无敌圣人?,184674,184827,154
1114,天魔解体大法,184828,184963,136
1115,八哥的搜魂秘法,184964,185108,145
1116,魔族强者的记忆,185109,185250,142
1117,想称霸圣土的魔族,185251,185353,103
1118,众人拾柴火焰高,185354,185471,118
1119,八卦阵图,185472,185628,157
1120,三千六百根阵桩,185629,185761,133
1121,他是琉璃圣人的后人,185762,185915,154
1122,魔族使者,185916,186066,151
1123,浮仙大阵强化成功,186067,186205,139
1124,魔族的真正实力,186206,186341,136
1125,紫目金刚巨猿,186342,186468,127
1126,收服猿王,186469,186616,148
1127,前往魔族营地,186617,186773,157
1128,魔音炮,186774,186900,127
1129,磨刀不费砍柴工,186901,187027,127
1130,炼制醉仙散,187028,187160,133
1131,结出很多大西瓜,187161,187326,166
1132,想一个折中的法子,187327,187480,154
1133,捏碎丹药就晕倒,187481,187631,151
1134,醉仙丹,187632,187770,139
1135,营地的情况摸清了,187771,187957,187
1136,醉仙丹的威力,187958,188114,157
1137,疯狂扫荡,188115,188322,208
1138,尸皇菌,188323,188497,175
1139,杀进蜂巢,188498,188660,163
1140,收取蜂巢,188661,188799,139
1141,不好了，宝库被偷了,188800,188986,187
1142,暂时保密,188987,189134,148
1143,收割蜂蜜,189135,189309,175
1144,研究彩色碎片,189310,189451,142
1145,碎片与浮仙剑融合,189452,189611,160
1146,一不小心玩大了,189612,189765,154
1147,抓紧时间修炼吧,189766,189919,154
1148,炼丹炉底部的炉渣,189920,190079,160
1149,再度出发,190080,190239,160
1150,二十三号营地,190240,190387,148
1151,被发现了,190388,190601,214
1152,改变计划,190602,190794,193
1153,一根毛都没留下,190795,191029,235
1154,流光使者到来,191030,191189,160
1155,遭遇伏击,191190,191370,181
1156,对方一上来就踹脸,191371,191542,172
1157,激战流光使者,191543,191702,160
1158,九重浪之后的那一抹灵光,191703,191859,157
1159,砸破封魔幡,191860,192031,172
1160,灵魂反噬，气血亏空,192032,192194,163
1161,我的剑呢?,192195,192363,169
1162,紫目金刚巨猿的祖地,192364,192502,139
1163,松子的作用,192503,192662,160
1164,圣水,192663,192774,112
1165,猿王蜕变,192775,192907,133
1166,猿王叛变,192908,193088,181
1167,那我就和它打一场,193089,193263,175
1168,方尘vs紫目金刚巨猿王,193264,193405,142
1169,弄死它们，一个不留!,193406,193583,178
1170,杀死那大虫子,193584,193713,130
1171,化身为血神,193714,193879,166
1172,浮仙道友牛逼,193880,194042,163
1173,猿王败逃,194043,194223,181
1174,前往紫目金刚巨猿祖地,194224,194344,121
1175,对紫目金刚巨猿搜魂,194345,194507,163
1176,花道友好肥啊,194508,194667,160
1177,无敌圣人，花道友,194668,194854,187
1178,超级空间风暴爆发,194855,194993,139
1179,一块黑色石头,194994,195174,181
1180,挖洞能手出马,195175,195340,166
1181,八哥的绝招,195341,195503,163
1182,提升混沌噬心虫的实力,195504,195657,154
1183,浮仙道友没上船,195658,195844,187
1184,回归蛮荒大陆,195845,196013,169
1185,消息传开,196014,196152,139
1186,忌惮白衣圣人,196153,196285,133
1187,损失惨重的魔族,196286,196409,124
1188,穿越蛮荒之海的风暴,196410,196554,145
1189,松果仁配圣水,196555,196717,163
1190,洞穴完成,196718,196895,178
1191,北海龙族转移,196896,197037,142
1192,风暴抵达蛮荒大陆,197038,197185,148
1193,超级稳固的青阳界,197186,197312,127
1194,风暴平息,197313,197454,142
1195,石头停止翻滚了?,197455,197617,163
1196,终于出来了,197618,197762,145
1197,一座岛屿,197763,197907,145
1198,大家抓紧时间渡劫,197908,198076,169
1199,明月圣人第八劫,198077,198206,130
1200,想把黑色石头带走,198207,198393,187
1201,喜欢石头的补天女神,198394,198529,136
1202,炼化黑色石头的方法,198530,198710,181
1203,这石头太重,198711,198885,175
1204,突破，大日佛帝,198886,199045,160
1205,可惜，他回不来了,199046,199145,100
1206,琉璃剑宗的准备,199146,199281,136
1207,准帝印记,199282,199405,124
1208,分身第八劫,199406,199574,169
1209,让天劫更猛一些吧,199575,199761,187
1210,神秘的召唤感,199762,199972,211
1211,白衣圣人再现?,199973,200189,217
1212,融合分身战降龙伏虎,200190,200340,151
1213,混沌青莲异象,200341,200566,226
1214,龙虎兽人,200567,200750,184
1215,琉璃钟的威力,200751,200943,193
1216,这琉璃钟不像圣器,200944,201118,175
1217,无名无姓,201119,201305,187
1218,再次被震惊的人族强者,201306,201453,148
1219,那召唤感又出现了,201454,201625,172
1220,云千雪的决定,201626,201800,175
1221,破开大阵的方法,201801,201972,172
1222,找无名前辈,201973,202147,175
1223,叶青瓷闭关的小屋,202148,202325,178
1224,大难临头各自飞?,202326,202479,154
1225,大日佛帝，如来神掌,202480,202630,151
1226,进入青阳界,202631,202778,148
1227,晶石破碎,202779,202959,181
1228,叶青瓷醒来,202960,203077,118
1229,仙女散花,203078,203234,157
1230,佛帝陀罗花,203235,203394,160
1231,叶青瓷战大日佛帝,203395,203566,172
1232,黑色佛珠,203567,203747,181
1233,寂灭瞳光，方尘归来,203748,203943,196
1234,本命佛光,203944,204127,184
1235,黑色指头砸光头,204128,204287,160
1236,压制大日佛帝,204288,204423,136
1237,双眼消失了,204424,204583,160
1238,叶青瓷的命太苦,204584,204722,139
1239,两个办法,204723,204879,157
1240,快速提升实力的办法,204880,204994,115
1241,随叫随到,204995,205154,160
1242,小伊醒了,205155,205290,136
1243,这圣心丹很合口味,205291,205429,139
1244,稀释圣水的办法,205430,205574,145
1245,召唤感的根源,205575,205758,184
1246,佛国的舰队又被灭了?,205759,205903,145
1247,青竹圣人,205904,206069,166
1248,我们是过来帮忙的,206070,206226,157
1249,他们都是主动去的,206227,206371,145
1250,方尘出关了,206372,206540,169
1251,混元周天星辰大阵,206541,206691,151
1252,吸收星辰之力,206692,206839,148
1253,送大家一场造化,206840,206996,157
1254,八劫圣人，方尘,206997,207159,163
1255,七彩圣莲,207160,207346,187
1256,一群不要脸的东西,207347,207533,187
1257,古虞圣人成功了,207534,207681,148
1258,古虞圣人的研究成果,207682,207808,127
1259,吸收升水的力量,207809,207932,124
1260,重建渡劫之地,207933,208095,163
1261,青草大阵,208096,208234,139
1262,好多草,208235,208427,193
1263,青草大阵的威力,208428,208602,175
1264,天火劫,208603,208753,151
1265,这位道友，先别急,208754,208889,136
1266,浮仙圣人要来,208890,209058,169
1267,雷云圣人,209059,209218,160
1268,混沌圣地的渡劫之地,209219,209378,160
1269,白阳圣人,209379,209505,127
1270,破心魔劫,209506,209665,160
1271,再见岳沧澜,209666,209783,118
1272,归还秘籍,209784,209904,121
1273,一千颗心劫丹,209905,210031,127
1274,震惊的岳沧澜,210032,210188,157
1275,欲速则不达,210189,210303,115
1276,第二位准帝,210304,210493,190
1277,研究黑色石头,210494,210635,142
1278,玩一点刺激的,210636,210756,121
1279,准备主动出击,210757,210901,145
1280,给他们一点颜色看看,210902,211040,139
1281,先下手为强,211041,211131,91
1282,灵魂印记松动,211132,211270,139
1283,抵达叶家的地盘,211271,211391,121
1284,冰晶独角虎,211392,211578,187
1285,这是我的主人,211579,211729,151
1286,噬心虫的徒弟,211730,211850,121
1287,星辰山脉,211851,212037,187
1288,他是浮仙圣人,212038,212170,133
1289,特殊的星辰玉,212171,212285,115
1290,星辰玉矿场,212286,212424,139
1291,进入矿洞,212425,212578,154
1292,特殊的灵魂攻击,212579,212714,136
1293,收取星辰玉,212715,212865,151
1294,叶家的阵法大师,212866,213019,154
1295,云蝎圣人,213020,213158,139
1296,碧落玄黄剑,213159,213297,139
1297,叶谭摇人,213298,213445,148
1298,紫薇圣人的决定,213446,213605,160
1299,这个阵法太完美,213606,213738,133
1300,叶家的隐忍,213739,213853,115
1301,玉髓空间,213854,213968,115
1302,神秘珠子,213969,214119,151
1303,撕裂灵魂,214120,214234,115
1304,炼天炉受损,214235,214358,124
1305,收入星辰戒,214359,214491,133
1306,主人要发大招了,214492,214672,181
1307,挖空星辰山脉,214673,214844,172
1308,下一个目标,214845,215022,178
1309,是那方尘干的,215023,215227,205
1310,他们去紫晶山脉了,215228,215348,121
1311,叶家大比,215349,215475,127
1312,准备对玄黄城动手,215476,215611,136
1313,极道帝兵玄黄钟,215612,215774,163
1314,大比开始,215775,215904,130
1315,你难道不怕天谴吗?,215905,216055,151
1316,叶弥天的怒火,216056,216203,148
1317,震动蛮荒大陆,216204,216348,145
1318,准备联手,216349,216502,154
1319,无功而返,216503,216632,130
1320,紫晶山脉也被挖空了,216633,216792,160
1321,杀出一条血路,216793,216943,151
1322,魔窟出圣人了,216944,217112,169
1323,炼器用混沌巨人异象?,217113,217263,151
1324,异象齐出,217264,217420,157
1325,我们要不要偷袭一下?,217421,217589,169
1326,炼天炉的变化,217590,217758,169
1327,黑色的流星泪,217759,217888,130
1328,震慑魔族,217889,218066,178
1329,排队领取流星泪,218067,218220,154
1330,叶空的情况,218221,218362,142
1331,帮分身炼制法宝,218363,218507,145
1332,天湖,218508,218646,139
1333,琉璃塔,218647,218782,136
1334,进入琉璃塔,218783,218954,172
1335,试炼之地不见了?,218955,219072,118
1336,再遇黑鳞红叶松,219073,219238,166
1337,又一座困仙大阵?,219239,219380,142
1338,再临神秘山谷,219381,219513,133
1339,古城终现,219514,219667,154
1340,诡异红雾,219668,219818,151
1341,神奇街道,219819,219966,148
1342,残破古鼎,219967,220138,172
1343,无法认主,220139,220274,136
1344,再见幽冥花,220275,220401,127
1345,他们是我的朋友,220402,220555,154
1346,又一口棺材,220556,220721,166
1347,无意冒犯,220722,220875,154
1348,你竟然想砍我?,220876,221056,181
1349,第九层琉璃金身诀,221057,221243,187
1350,琉璃圣人是大帝?,221244,221382,139
1351,混元养器诀,221383,221542,160
1352,混元噬天阵,221543,221675,133
1353,准备炼制宝塔,221676,221841,166
1354,乾坤圣主指路,221842,222013,172
1355,星辰宗的红石山,222014,222170,157
1356,亭子后面还有山,222171,222327,157
1357,黑塔,222328,222496,169
1358,一口气把门吹开了,222497,222689,193
1359,吞天塔的守护者,222690,222825,136
1360,这座宝塔太丑了,222826,223006,181
1361,晨武圣人的想法,223007,223193,187
1362,琉璃剑宗是累赘吗?,223194,223332,139
1363,叶家准帝李长生,223333,223504,172
1364,死光头，你的脑袋还疼吗?,223505,223649,145
1365,上苍之手对如来神掌,223650,223812,163
1366,壮士断腕,223813,223963,151
1367,你有金莲台，我有吞天塔,223964,224156,193
1368,浪你个头,224157,224328,172
1369,妮玛呜吗哄,224329,224503,175
1370,法相天地,224504,224666,163
1371,无法挖穿的世界,224667,224835,169
1372,急了，他急了,224836,224986,151
1373,弄死这秃驴,224987,225140,154
1374,二帝败逃,225141,225303,163
1375,仿制吞天塔?,225304,225436,133
1376,小看谁呢?,225437,225605,169
1377,开始摇人,225606,225804,199
1378,动静越大越好,225805,225988,184
1379,震惊的魔族强者,225989,226172,184
1380,开辟源界的方法,226173,226311,139
1381,第九层混沌结界,226312,226501,190
1382,诡异的波动,226502,226649,148
1383,融合混沌巨人,226650,226836,187
1384,准帝，方尘,226837,227047,211
1385,第十层混沌空间,227048,227222,175
1386,开辟源界,227223,227385,163
1387,源界开辟完成,227386,227572,187
1388,九阶的混元噬天阵,227573,227744,172
1389,第一层宝塔,227745,227934,190
1390,全部炼制完成,227935,228148,214
1391,又一位准帝,228149,228350,202
1392,留在混沌空间修炼,228351,228507,157
1393,九界塔,228508,228655,148
1394,混沌空间的乱流,228656,228827,172
1395,烈阳山脉,228828,228960,133
1396,方尘又屠城了,228961,229117,157
1397,叶家的秘密,229118,229277,160
1398,玄黄符，九幽噬魂钉,229278,229410,133
1399,伏击方尘,229411,229576,166
1400,再战李长生,229577,229715,139
1401,九幽噬魂钉入体,229716,229875,160
1402,愤怒的小鹤,229876,230026,151
1403,玄黄源界不安全了,230027,230162,136
1404,全力守护祖地,230163,230301,139
1405,天罗秘境又开启了,230302,230470,169
1406,一点小伤，不碍事,230471,230639,169
1407,出入自如,230640,230805,166
1408,当年的那一批人,230806,231004,199
1409,再见流丹河,231005,231179,175
1410,秘境中的空间裂缝,231180,231345,166
1411,神秘空间,231346,231511,166
1412,天龙骸骨,231512,231716,205
1413,神秘空间的尽头,231717,231873,157
1414,星河鼎，元婴秘境,231874,232042,169
1415,天龙空间,232043,232205,163
1416,洞虚秘境的圣兽,232206,232377,172
1417,圣人秘境,232378,232537,160
1418,望帝山,232538,232715,178
1419,八哥突破，准帝,232716,232893,178
1420,准帝空间，白骨河,232894,233062,169
1421,这船沉得快?,233063,233264,202
1422,故事成真?,233265,233424,160
1423,山头竟是犀牛角,233425,233608,184
1424,砍下一只猪耳朵,233609,233795,187
1425,猪妖变身,233796,234003,208
1426,再见骷髅船夫,234004,234160,157
1427,叶青瓷，仙人转世?,234161,234299,139
1428,秘境之主,234300,234483,184
1429,准帝叶辰,234484,234661,178
1430,融合分身战叶辰,234662,234827,166
1431,等待方尘出现,234828,235008,181
1432,小师叔回来了,235009,235162,154
1433,麒麟臂的威力,235163,235331,169
1434,玄黄之气,235332,235506,175
1435,万剑皆空vs一剑轮回,235507,235690,184
1436,看看谁更持久,235691,235907,217
1437,底牌尽出,235908,236118,211
1438,狠起来，连自己都捅,236119,236317,199
1439,砍下一根麒麟臂,236318,236516,199
1440,四枚九幽噬魂钉,236517,236703,187
1441,麒麟臂上的残魂,236704,236878,175
1442,带着麒麟臂去找叶空,236879,237053,175
1443,融合麒麟臂!,237054,237231,178
1444,一个大胆的想法,237232,237403,172
1445,李长寿，张子恒,237404,237620,217
1446,千人劫,237621,237786,166
1447,青草大阵，不死之身,237787,237988,202
1448,不甘失败的叶辰,237989,238121,133
1449,叶家与瑶池圣地的矛盾,238122,238272,151
1450,万年蟠桃熟，瑶池圣主突破,238273,238438,166
1451,混沌圣主突破,238439,238601,163
1452,送万年蟠桃,238602,238785,184
1453,明月圣人的问题,238786,238939,154
1454,古虞前辈，你看我行不?,238940,239114,175
1455,你是纯阳之体吗?,239115,239277,163
1456,古怪的体质,239278,239482,205
1457,大家一起吃蟠桃,239483,239654,172
1458,云香山的秘密，时间加速?,239655,239802,148
1459,混沌噬心虫和混沌魔星藤归来,239803,239968,166
1460,两枚准帝印记,239969,240131,163
1461,抵达云香山，再战李长生,240132,240348,217
1462,感受时间加速,240349,240511,163
1463,孪生姐妹,240512,240668,157
1464,复活怜月圣人?,240669,240843,175
1465,怜月圣人的残魂,240844,241000,157
1466,瑶池圣主出关,241001,241181,181
1467,云梦山入口的结界,241182,241347,166
1468,这个结界很特殊,241348,241546,199
1469,终于可以进去了,241547,241700,154
1470,把玄玉森林搬过来,241701,241851,151
1471,天大的好事,241852,241984,133
1472,那叶辰来了,241985,242147,163
1473,碧落玄黄，法相天地,242148,242310,163
1474,最好的磨刀石,242311,242452,142
1475,玄黄旗中的大眼睛,242453,242615,163
1476,谢谢你这么看得起我,242616,242790,175
1477,玄玉森林是法宝?,242791,242953,163
1478,岳沧澜的法相天地,242954,243110,157
1479,混沌塔,243111,243246,136
1480,第九层混沌塔,243247,243367,121
1481,传承石雕,243368,243497,130
1482,溺水之人,243498,243678,181
1483,蓝色的珠子,243679,243847,169
1484,星辰大帝的传承,243848,244016,169
1485,她是蓝羽大帝,244017,244224,208
1486,找不到秘境入口,244225,244378,154
1487,再临天龙空间,244379,244532,154
1488,三年之期?谁说的?,244533,244695,163
1489,十次机会,244696,244858,163
1490,一脚踩中毒蝎子,244859,245021,163
1491,来来来，蛰死我吧!,245022,245169,148
1492,噬神印记破碎,245170,245362,193
1493,琉璃金身第九转,245363,245525,163
1494,噬神诀与琉璃战纹融合,245526,245691,166
1495,黑暗噬神领域,245692,245905,214
1496,又是三年之后?,245906,246071,166
1497,方尘的条件,246072,246204,133
1498,佛国的七位准帝,246205,246343,139
1499,小六子也成准圣了?,246344,246512,169
1500,云老特殊的梦境,246513,246642,130
1501,混沌魔星藤第七劫,246643,246814,172
1502,你这家伙，真的变态!,246815,246968,154
1503,从佛土归来就回家,246969,247128,160
1504,永远忘不了的小石村,247129,247297,169
1505,画卷之中的佛像,247298,247460,163
1506,吾乃战佛,247461,247599,139
